Year,Units,Value
2000,Tonnes per capita,14.43294767
2000,Tonnes per gross domestic product (£m),599.2909202000001
2001,Tonnes per capita,15.05252652
2001,Tonnes per gross domestic product (£m),610.7752617000001
2002,Tonnes per capita,13.87838432
2002,Tonnes per gross domestic product (£m),552.3002679
2003,Tonnes per capita,13.57385637
2003,Tonnes per gross domestic product (£m),524.4682753000001
2004,Tonnes per capita,13.72634711
2004,Tonnes per gross domestic product (£m),520.0046004
2005,Tonnes per capita,13.68738341
2005,Tonnes per gross domestic product (£m),507.4503581
2006,Tonnes per capita,13.10106844
2006,Tonnes per gross domestic product (£m),477.0982084
2007,Tonnes per capita,12.98290418
2007,Tonnes per gross domestic product (£m),464.741307
2008,Tonnes per capita,11.95494292
2008,Tonnes per gross domestic product (£m),434.18953250000004
2009,Tonnes per capita,10.51228307
2009,Tonnes per gross domestic product (£m),401.88310939999997
2010,Tonnes per capita,10.36974482
2010,Tonnes per gross domestic product (£m),392.10204780000004
2011,Tonnes per capita,10.14298784
2011,Tonnes per gross domestic product (£m),380.9902542
2012,Tonnes per capita,10.09339926
2012,Tonnes per gross domestic product (£m),376.69704069999995
2013,Tonnes per capita,10.28145703
2013,Tonnes per gross domestic product (£m),378.888261
